Name,Country,Links,government,1.1. App has defined lifetime,1.2. Data storage is time-limited,2.1. Opt-in download and use,2.2. Opt-in data sharing,2.3. Not tied to other benefits,3.1. Data used only for establishing contacts,3.2. No PII collection,4.1. Open source,4.2. Published privacy policy,5.1. Freely available,5.2. Android and iOS (when necessary),6.1. Decentralized storage,6.2. Can erase data,7.1. Decentralized matching,7.2. Rotating randomized beacon,"8.1. Contact accuracy (BLE, not GPS or other)",8.2. Positive cases verified by test,protocol,Installs (Google Play),Average Rating (Google Play),who_region,status,date_released,date_cancelled
OHIOH,Germany,https://ohioh.de/,no,no,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble + gps,unknown,TCN,,,EURO,development,,
Cotect,Germany,https://cotect.launchaco.com/,no,no,14,yes,yes,yes,no,yes,yes,yes,yes,both,no,yes,no,na,gps,unknown,none,,,EURO,cancelled,,
Coronika,Germany,https://www.coronika.app/,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,android only,yes,yes,na,na,na,na,none,"50,000",4.0,EURO,released,2020-03-19,
Pandoa,Germany,https://pandoa.org/,no,no,14 days,yes,yes,yes,unknown,yes,yes,yes,yes,both,yes,yes,yes,yes,gps,no (self-report),none,,,EURO,cancelled,,2020-04-25
Ito,Germany,https://www.ito-app.org/,no,no,yes,yes,yes,yes,yes,unknown,yes,no,yes,android only,yes,yes,yes,yes,ble,yes,TCN,,,EURO,cancelled,,
Corona-Warn-App,Germany,https://www.coronawarn.app/,yes,no,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,DP3T,"10,000,000",3.1,EURO,released,2020-06-11,
my co:radar,Germany,http://mycoradar.de/my-coradar-eu/,no,no,20 days,yes,yes,unknown,yes,yes,yes,yes,yes,android only,yes,yes,no,no,ble,unknown,none,,,EURO,cancelled,,2020-05-04
Plinks,Germany,https://plinks.io/,no,no,no,yes,yes,no,no (heatmap),no,yes,yes,yes,both,no,yes,no,na,gps + qr code,no,none,,,EURO,released,,
GH COVID-19 Tracker App,Ghana,https://ghcovid19.com/,yes,unknown,unknown,yes,yes,yes,no (heatmap),no,no,no,yes,both,no,unknown,no,no,cell tower location,unknown,none,"5,000",3.8,AFRO,released,2020-04-15,
Beat COVID Gibraltar,Gibraltar,https://www.gibraltar.gov.gi/beatcovidapp,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,unknown,yes,ble,unknown,none,"10,000",3.1,EURO,released,2020-06-17,
Covid Community Alert,Global,https://coronavirus-outbreak-control.github.io/web/index_en.html,no,unknown,14 days,yes,yes,unknown,unknown,yes,yes,no,yes,both,unknown,unknown,unknown,no,ble,unknown,none,,,,cancelled,,
Stay Home Safe,Hong Kong,https://www.coronavirus.gov.hk/eng/stay-home-safe.html,yes,unknown,no,no,no,no,no (quarantine),no,no,no,yes,both,no,no,na,no,ble + gps + wifi,na,none,"50,000",2.5,WPRO,released,2020-03-18,
Virus Radar,Hungary,https://virusradar.hu/,yes,no,30 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,no,no,ble,unknown,none,"100,000",3.1,EURO,released,2020-05-10,
