Name,Country,Links,government,1.1. App has defined lifetime,1.2. Data storage is time-limited,2.1. Opt-in download and use,2.2. Opt-in data sharing,2.3. Not tied to other benefits,3.1. Data used only for establishing contacts,3.2. No PII collection,4.1. Open source,4.2. Published privacy policy,5.1. Freely available,5.2. Android and iOS (when necessary),6.1. Decentralized storage,6.2. Can erase data,7.1. Decentralized matching,7.2. Rotating randomized beacon,"8.1. Contact accuracy (BLE, not GPS or other)",8.2. Positive cases verified by test,protocol,Installs (Google Play),Average Rating (Google Play),who_region,status,date_released,date_cancelled,has_protocol,state,protocol_other,score
Pandoa,Germany,https://pandoa.org/,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,none,,,EURO,cancelled,,2020-04-25,no,,none,6.0
Ito,Germany,https://www.ito-app.org/,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,TCN,,,EURO,cancelled,,,yes,,DP3T/TCN,6.5
Corona-Warn-App,Germany,https://www.coronawarn.app/,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,DP3T,"10,000,000",3.1,EURO,released,2020-06-11,,yes,,DP3T/TCN,7.5
my co:radar,Germany,http://mycoradar.de/my-coradar-eu/,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,none,,,EURO,cancelled,,2020-05-04,no,,none,5.666666666666666
Plinks,Germany,https://plinks.io/,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,none,,,EURO,released,,,no,,none,3.1666666666666665
GH COVID-19 Tracker App,Ghana,https://ghcovid19.com/,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,none,"5,000",3.8,AFRO,released,2020-04-15,,no,,none,2.0
Beat COVID Gibraltar,Gibraltar,https://www.gibraltar.gov.gi/beatcovidapp,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,none,"10,000",3.1,EURO,released,2020-06-17,,no,,none,6.0
Covid Community Alert,Global,https://coronavirus-outbreak-control.github.io/web/index_en.html,no,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,none,,,,cancelled,,,no,,none,3.6666666666666665
Stay Home Safe,Hong Kong,https://www.coronavirus.gov.hk/eng/stay-home-safe.html,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,none,"50,000",2.5,WPRO,released,2020-03-18,,no,,none,1.0
Virus Radar,Hungary,https://virusradar.hu/,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,none,"100,000",3.1,EURO,released,2020-05-10,,no,,none,5.5
Rakning C-19,Iceland,https://www.covid.is/app/,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,none,"100,000",3.0,EURO,released,2020-03-31,,no,,none,5.5
Aarogya Setu,India,https://theprint.in/opinion/india-can-prevent-long-term-lockdown-contain-covid-if-90-people-download-aarogya-setu/401116/,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,none,"100,000,000",4.1,SEARO,released,2020-04-02,,no,,none,3.5
SMC COVID-19 Tracker,India,https://pib.gov.in/PressReleseDetailm.aspx?PRID=1613926,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,none,"100,000",3.1,SEARO,released,2020-04-03,,no,,none,1.5
Unmaze,India,https://www.expresscomputer.in/news/indian-ai-startup-creates-app-that-alerts-presence-of-nearby-home-quarantined-people-for-coronavirus/52117/,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,none,,,EURO,released,,,no,,none,0.5
SAIYAM,India,https://government.economictimes.indiatimes.com/news/digital-india/pune-municipal-corporation-develops-saiyam-app-to-track-home-quarantine/75286114,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,none,"1,000",3.8,SEARO,released,2020-04-26,,no,,none,1.5
COVID-19 Quarantine Monitor,India,https://play.google.com/store/apps/details?id=com.pixxonai.covid19&hl=en_US&gl=US,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,none,"100,000",3.9,SEARO,released,2020-05-09,,no,,none,1.5
Mahakavach,India,https://play.google.com/store/apps/details?id=com.mahakavach&hl=en_CA,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,none,"100,000",2.6,SEARO,released,2020-05-09,,no,,none,1.5
Quarantine Watch,India,https://play.google.com/store/apps/details?id=com.bmc.qrtnwatch&hl=en_US&gl=US,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,none,"100,000",3.2,SEARO,released,2020-03-27,,no,,none,2.1666666666666665
Quarantine Watch,India,https://www.business-standard.com/article/technology/quarantine-watch-karnataka-uses-apps-to-keep-track-of-people-under-watch-120040201641_1.html,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,none,"100,000",2.0,SEARO,released,2020-03-30,,no,,none,1.5
PeduliLindungi,Indonesia,https://play.google.com/store/apps/details?id=com.telkom.tracencare,yes,no,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,yes,no,none,"1,000,000",3.9,SEARO,released,2020-04-13,,no,,none,3.6666666666666665
